"100 Mph","#c93f38","100 mph"
"Peppermint Patty","#d1e6d5","peppermint patty"
"Peppermint Pie","#aac7c1","peppermint pie"
"Peppermint Spray","#90cbaa","peppermint spray"
"Peppermint Stick","#e8b9be","peppermint stick"
"Peppermint Toad","#009933","peppermint toad"
"Peppermint Twist","#96ced5","peppermint twist"
"Peppermint","#d7e7d0","peppermint"
"Pepperoncini","#d8c553","pepperoncini"
"Pepperoni","#aa4400","pepperoni"
"Peppery","#5b5752","peppery"
"Peppy Peacock","#55ccbb","peppy peacock"
"Peppy Pineapple","#ffff44","peppy pineapple"
"Peppy","#72d7b7","peppy"
"Peptalk","#0060a6","peptalk"
"Pepto","#e8a2b9","pepto"
"Perano","#acb9e8","perano"
"Percale","#f0e8dd","percale"
"Perdu Pink","#c1ada9","perdu pink"
"Perennial Blue","#a4bbd3","perennial blue"
"Perennial Garden","#87a56f","perennial garden"
"Perennial Gold","#caaf81","perennial gold"
"Perennial Green","#47694f","perennial green"
"Perennial Phlox","#e6a7ac","perennial phlox"
"Perfect Dark","#313390","perfect dark"
"Perfect Greige","#b7ab9f","perfect greige"
"Perfect Khaki","#b2a492","perfect khaki"
"Perfect Landing","#9eb2c3","perfect landing"
"Perfect Ocean","#3062a0","perfect ocean"
"Perfect Pear","#e9e8bb","perfect pear"
"Perfect Penny","#a06a56","perfect penny"
"Perfect Periwinkle","#6487b0","perfect periwinkle"
"Perfect Pink","#e5b3b2","perfect pink"
"Perfect Sky","#4596cf","perfect sky"
"Perfect Solution","#f2edd7","perfect solution"
"Perfect Storm","#9598a1","perfect storm"
"Perfect Tan","#cbac88","perfect tan"
"Perfect Taupe","#b6aca0","perfect taupe"
"Perfect White","#f0eeee","perfect white"
"Perfection","#d9d6e5","perfection"
"Perfectly Purple Place","#cc22aa","perfectly purple place"
"Perfectly Purple","#694878","perfectly purple"
"Perfume Cloud","#e2c9ce","perfume cloud"
"Perfume Haze","#f3e9f7","perfume haze"
"Perfume","#c2a9db","perfume"
"Pergament Shreds","#e4e0dc","pergament shreds"
"Pergament","#bfa58a","pergament"
"Pergola Panorama","#e1e9db","pergola panorama"
"Peri Peri","#c62d2c","peri peri"
"Pericallis Hybrida","#904fef","pericallis hybrida"
"Peridot","#e6e200","peridot"
"Periglacial Blue","#acb6b2","periglacial blue"
"Peril’s Flames","#ef8b38","peril’s flames"
"Periscope","#52677b","periscope"
"Peristyle Brass","#ae905e","peristyle brass"
"Periwinkle Blossom","#8b9ab9","periwinkle blossom"
"Periwinkle Blue","#8f99fb","periwinkle blue"
"Periwinkle Bud","#b4c4de","periwinkle bud"
"Periwinkle Dusk","#8d9db3","periwinkle dusk"
"Periwinkle Grey","#c3cde6","periwinkle grey"
"Periwinkle Powder","#c5cbe1","periwinkle powder"
"Periwinkle Sky","#8cb7d7","periwinkle sky"
"Periwinkle Tint","#d3ddd6","periwinkle tint"
"Periwinkle","#8e82fe","periwinkle"
"Perk Up","#d6c7be","perk up"
"Perkin Mauve","#733c8e","perkin mauve"
"Perky Tint","#fbf4d3","perky tint"
"Perky Yellow","#f2ca83","perky yellow"
"Perky","#408e7c","perky"
"Perle Noir","#4f4d51","perle noir"
"Permafrost","#98eff9","permafrost"
"Permanent Geranium Lake","#e12c2c","permanent geranium lake"
"Permanent Green","#005437","permanent green"
"Perpetual Purple","#584d75","perpetual purple"
"Perplexed","#bdb3c3","perplexed"
"Perrigloss Tan","#ddaa99","perrigloss tan"
"Perrywinkle","#8f8ce7","perrywinkle"
"Perseverance","#acb3c7","perseverance"
"Persian Bazaar","#c5988c","persian bazaar"
"Persian Belt","#99ac4b","persian belt"
"Persian Blinds","#e3e1cc","persian blinds"
"Persian Blue","#1c39bb","persian blue"
"Persian Delight","#efcada","persian delight"
"Persian Fable","#d4ebdd","persian fable"
"Persian Flatbread","#e1c7a8","persian flatbread"
"Persian Gold","#9b7939","persian gold"
"Persian Green","#00a693","persian green"
"Persian Indigo","#32127a","persian indigo"
"Persian Jewel","#6a7dbc","persian jewel"
"Persian Luxury Purple","#990077","persian luxury purple"
"Persian Melon","#ffdcbf","persian melon"
"Persian Mosaic","#206874","persian mosaic"
"Persian Orange","#d99058","persian orange"
"Persian Pastel","#aa9499","persian pastel"
"Persian Pink","#f77fbe","persian pink"
"Persian Plum","#701c1c","persian plum"
"Persian Plush","#575b93","persian plush"
"Persian Prince","#38343e","persian prince"
"Persian Red","#cc3333","persian red"
"Persian Rose","#fe28a2","persian rose"
"Persian Violet","#8c8eb2","persian violet"
"Persicus","#ffb49b","persicus"
"Persimmon Fade","#f7bd8f","persimmon fade"
"Persimmon Juice","#934337","persimmon juice"
"Persimmon Orange","#f47327","persimmon orange"
"Persimmon Red","#a74e4a","persimmon red"
"Persimmon Varnish","#9f563a","persimmon varnish"
"Persimmon","#e59b34","persimmon"
"Perspective","#cebeda","perspective"
"Persuasion","#c4ae96","persuasion"
"Peru","#cd853f","peru"
"Peruvian Lily","#cd7db5","peruvian lily"
"Peruvian Soil","#733d1f","peruvian soil"
"Peruvian Violet","#7b7284","peruvian violet"
"Pervenche","#0099ee","pervenche"
"Pestering Pesto","#119922","pestering pesto"
"Pestilence","#9f8303","pestilence"
"Pesto Alla Genovese","#558800","pesto alla genovese"
"Pesto Calabrese","#f49325","pesto calabrese"
"Pesto Genovese","#9dc249","pesto genovese"
"Pesto Green","#817553","pesto green"
"Pesto Paste","#898c66","pesto paste"
"Pesto Rosso","#bb3333","pesto rosso"
"Pesto di Noce","#b09d64","pesto di noce"
"Pesto di Pistacchio","#a7c437","pesto di pistacchio"
"Pesto di Rucola","#748a35","pesto di rucola"
"Pesto","#c1b23e","pesto"
"Pestulance","#aa9933","pestulance"
"Petal Bloom","#f7d5da","petal bloom"
"Petal Dust","#f4dfcd","petal dust"
"Petal Pink","#f4e5e0","petal pink"
"Petal Plush","#ddaaee","petal plush"
"Petal Poise","#f8e3ee","petal poise"
"Petal Purple","#53465d","petal purple"
"Petal Tip","#d9d9df","petal tip"
"Petal of a Dying Rose","#9f0630","petal of a dying rose"
"Petals Unfolding","#f3bbc0","petals unfolding"
"Peter Pan","#19a700","peter pan"
"Petit Four","#7fbad1","petit four"
"Petit Pink","#e9cdd8","petit pink"
"Petite Orchid","#da9790","petite orchid"
"Petite Pink","#eacacb","petite pink"
"Petite Purple","#cfbbd8","petite purple"
"Petrel Blue Grey","#a0aebc","petrel blue grey"
"Petrel","#4076b4","petrel"
"Petrichor Brown","#6a4345","petrichor brown"
"Petrichor","#66cccc","petrichor"
"Petrified Oak","#9b846c","petrified oak"
"Petrified Purple","#9c87c1","petrified purple"
"Petrified","#8b8680","petrified"
"Petro Blue","#2f5961","petro blue"
"Petrol Green","#549b8c","petrol green"
"Petrol Slumber","#243640","petrol slumber"
"Petrol","#005f6a","petrol"
"Petroleum","#21211d","petroleum"
"Petticoat","#fecdac","petticoat"
"Pettifers","#228822","pettifers"
"Pettingill Sage","#88806a","pettingill sage"
"Petula","#ffbab0","petula"
"Petunia Patty","#4b3c4b","petunia patty"
"Petunia Trail","#b8b0cf","petunia trail"
"Petunia","#4d3466","petunia"
"Pewter Blue","#8ba8b7","pewter blue"
"Pewter Cast","#9b9893","pewter cast"
"Pewter Green","#5e6259","pewter green"
"Pewter Grey","#a7a19e","pewter grey"
"Pewter Mug","#8b8283","pewter mug"
"Pewter Patter","#bab4a6","pewter patter"
"Pewter Ring","#8a8886","pewter ring"
"Pewter Tankard","#a39b90","pewter tankard"
"Pewter Tray","#bdc5c0","pewter tray"
"Pewter Vase","#cececb","pewter vase"
"Pewter","#91a092","pewter"
"Peyote","#c5bbae","peyote"
"Pezzottaite","#d03b52","pezzottaite"
"Phantom Green","#d6e0d1","phantom green"
"Phantom Hue","#645d5e","phantom hue"
"Phantom Mist","#4b4441","phantom mist"
"Phantom Ship","#2f3434","phantom ship"
"Phantom","#6e797b","phantom"
"Pharaoh Purple","#636285","pharaoh purple"
"Pharaoh’s Gem","#007367","pharaoh’s gem"
"Pharaoh’s Jade","#83d1a9","pharaoh’s jade"
"Pharaoh’s Seas","#59bbc2","pharaoh’s seas"
"Pharlap","#826663","pharlap"
"Pharmaceutical Green","#087e34","pharmaceutical green"
"Pharmacy Green","#005500","pharmacy green"
"Phaser Beam","#ff4d00","phaser beam"
"Pheasant Brown","#795435","pheasant brown"
"Pheasant","#c17c54","pheasant"
"Pheasant’s Egg","#e0dcd7","pheasant’s egg"
"Phellodendron Amurense","#f3c13a","phellodendron amurense"
"Phelps Putty","#c4bdad","phelps putty"
"Phenomenal Peach","#ffcba2","phenomenal peach"
"Phenomenal Pink","#ee55ff","phenomenal pink"
"Phenomenon","#3e729b","phenomenon"
"Pheromone Purple","#8822bb","pheromone purple"
"Philanthropist Pink","#e2d9dd","philanthropist pink"
"Philippine Blue","#0038a7","philippine blue"
"Philippine Bronze","#6e3a07","philippine bronze"
"Philippine Brown","#5d1916","philippine brown"
"Philippine Gold","#b17304","philippine gold"
"Philippine Golden Yellow","#eebb00","philippine golden yellow"
"Philippine Green","#008543","philippine green"
"Philippine Orange","#ff7300","philippine orange"
"Philippine Pink","#fa1a8e","philippine pink"
"Philippine Red","#ce1127","philippine red"
"Philippine Violet","#81007f","philippine violet"
"Philippine Yellow","#fecb00","philippine yellow"
"Philips Green","#008f80","philips green"
"Philodendron","#116356","philodendron"
"Philosophical","#757b7d","philosophical"
"Philosophically Speaking","#4d483d","philosophically speaking"
"Phlox Flower Violet","#7f4f78","phlox flower violet"
"Phlox Pink","#ce5e9a","phlox pink"
"Phlox","#df00ff","phlox"
"Phoenix Flames","#faa21a","phoenix flames"
"Phoenix Fossil","#f8d99e","phoenix fossil"
"Phoenix Red","#e2725b","phoenix red"
"Phoenix Rising","#d2813a","phoenix rising"
"Phoenix Villa","#f7efde","phoenix villa"
"Phosphor Green","#00aa00","phosphor green"
"Phosphorescent Blue","#11eeee","phosphorescent blue"
"Phosphorescent Green","#11ff00","phosphorescent green"
"Phosphorus","#a5d0c6","phosphorus"
"Photo Grey","#aead96","photo grey"
"Photon Barrier","#88ddee","photon barrier"
"Photon Projector","#88eeff","photon projector"
"Photon White","#f8f8e8","photon white"
"Phthalo Blue","#000f89","phthalo blue"
"Phthalo Green","#123524","phthalo green"
"Phuket Palette","#0480bd","phuket palette"
"Physalis Aquarelle","#ebe1d4","physalis aquarelle"
"Physalis Peal","#e1d8bb","physalis peal"
"Physalis","#ef9548","physalis"
"Pianissimo","#e6d0ca","pianissimo"
"Piano Black","#17171a","piano black"
"Piano Brown","#5c4c4a","piano brown"
"Piano Grey Rose","#cfc4c7","piano grey rose"
"Piano Keys","#eee5d4","piano keys"
"Piano Mauve","#9e8996","piano mauve"
"Picador","#765c52","picador"
"Picante","#a04933","picante"
"Picasso Lily","#634878","picasso lily"
"Picasso","#f8ea97","picasso"
"Piccadilly Grey","#625d5d","piccadilly grey"
"Piccadilly Purple","#51588e","piccadilly purple"
"Piccolo","#8bd2e2","piccolo"
"Picholine Olive","#958251","picholine olive"
"Picholine","#566955","picholine"
"Picket Fence White","#ebe7db","picket fence white"
"Picket Fence","#f3f2ea","picket fence"
"Pickford","#c9f0d1","pickford"
"Pickle Juice","#bba528","pickle juice"
"Pickle","#85a16a","pickle"
"Pickled Avocado","#99bb11","pickled avocado"
"Pickled Bean","#6e4826","pickled bean"
"Pickled Beet","#542644","pickled beet"
"Pickled Beets","#aa0044","pickled beets"
"Pickled Bluewood","#314459","pickled bluewood"
"Pickled Capers","#695e4b","pickled capers"
"Pickled Cucumber","#94a135","pickled cucumber"
"Pickled Ginger","#ffdd55","pickled ginger"
"Pickled Grape Leaves","#775500","pickled grape leaves"
"Pickled Lemon","#ddcc11","pickled lemon"
"Pickled Limes","#bbbb11","pickled limes"
"Pickled Okra","#887647","pickled okra"
"Pickled Pineapple","#eeff33","pickled pineapple"
"Pickled Pink","#da467d","pickled pink"
"Pickled Plum","#8e4785","pickled plum"
"Pickled Pork","#ddbbaa","pickled pork"
"Pickled Purple","#8e7aa1","pickled purple"
"Pickled Radish","#ee1144","pickled radish"
"Pickled Salmon","#ff6655","pickled salmon"
"Pickled","#b3a74b","pickled"
"Pickling Spice","#cfd2b5","pickling spice"
"Picnic Bay","#bcdbd4","picnic bay"
"Picnic Day Sky","#00ccee","picnic day sky"
"Picnic","#99c285","picnic"
"Pico Earth","#ab5236","pico earth"
"Pico Eggplant","#7e2553","pico eggplant"
"Pico Ivory","#fff1e8","pico ivory"
"Pico Metal","#c2c3c7","pico metal"
"Pico Orange","#ffa300","pico orange"
"Pico Sun","#ffec27","pico sun"
"Pico Void","#1d2b53","pico void"
"Pico-8 Pink","#ff77a8","pico-8 pink"
"Picton Blue","#5ba0d0","picton blue"
"Pictorial Carmine","#c30b4e","pictorial carmine"
"Picture Book Green","#00804c","picture book green"
"Picture Perfect","#fbf2d1","picture perfect"
"Pie Crust","#f1d99f","pie crust"
"Pie Safe","#877a64","pie safe"
"Piece of Cake","#ede7c8","piece of cake"
"Pieces of Eight","#ffaf38","pieces of eight"
"Pied Wagtail Grey","#bebdc2","pied wagtail grey"
"Piedmont","#c2cec5","piedmont"
"Piedra De Sol","#eac185","piedra de sol"
"Pier 17 Steel","#647d8e","pier 17 steel"
"Pier","#88857d","pier"
"Piercing Pink","#dd00ee","piercing pink"
"Piercing Red","#dd1122","piercing red"
"Piermont Stone Red","#43232c","piermont stone red"
"Pierogi","#f4d68c","pierogi"
"Piezo Blue","#a1c8db","piezo blue"
"Pig Iron","#484848","pig iron"
"Pig Pink","#fdd7e4","pig pink"
"Pigeon Grey","#c1b4a0","pigeon grey"
"Pigeon Pink","#9d857f","pigeon pink"
"Pigeon Post","#afbdd9","pigeon post"
"Pigeon","#a9afaa","pigeon"
"Piggy Bank","#ffccbb","piggy bank"
"Piggy Dreams","#ffcbc4","piggy dreams"
"Piggy","#ef98aa","piggy"
"Piggyback","#f0dce3","piggyback"
"Piglet","#ffc0c6","piglet"
"Pigment Indigo","#4d0082","pigment indigo"
"Pigskin Puffball","#e8dad1","pigskin puffball"
"Pika Yellow","#eee92d","pika yellow"
"Pikachu Chu","#eede73","pikachu chu"
"Pike Lake","#6c7779","pike lake"
"Pikkoro Green","#15b01a","pikkoro green"
"Pilot Blue","#006981","pilot blue"
"Pilsener","#f8f753","pilsener"
"Piment Piquant","#cc2200","piment piquant"
"Pimento Grain Brown","#6c5738","pimento grain brown"
"Pimento","#dc5d47","pimento"
"Pimlico","#df9e9d","pimlico"
"Pimm’s","#c3585c","pimm’s"
"Pina Colada","#f4deb3","pina colada"
"Pina","#ffd97a","pina"
"Pinafore Blue","#7198c0","pinafore blue"
"Pinard Yellow","#f4c701","pinard yellow"
"Pinata","#c17a62","pinata"
"Pinball","#d3d3d3","pinball"
"Pinch Me","#c88ca4","pinch me"
"Pinch Purple","#b4abaf","pinch purple"
"Pinch of Pearl","#fff8e3","pinch of pearl"
"Pinch of Pepper","#0f180a","pinch of pepper"
"Pinch of Pistachio","#ddddcc","pinch of pistachio"
"Pincushion","#ac989c","pincushion"
"Pindjur Red","#bb4411","pindjur red"
"Pine Bark","#887468","pine bark"
"Pine Brook","#5c7669","pine brook"
"Pine Cone Brown","#675850","pine cone brown"
"Pine Cone Pass","#5c6456","pine cone pass"
"Pine Cone","#645345","pine cone"
"Pine Crush","#b7b8a5","pine crush"
"Pine Forest","#415241","pine forest"
"Pine Frost","#deeae0","pine frost"
"Pine Garland","#797e65","pine garland"
"Pine Glade","#bdc07e","pine glade"
"Pine Grain","#ebc79e","pine grain"
"Pine Green","#0a481e","pine green"
"Pine Grove","#273f39","pine grove"
"Pine Haven","#486358","pine haven"
"Pine Hutch","#ecdbd2","pine hutch"
"Pine Leaves","#839b5c","pine leaves"
"Pine Mist","#d5d8bc","pine mist"
"Pine Mountain","#5c685e","pine mountain"
"Pine Needle","#334d41","pine needle"
"Pine Nut","#eadac2","pine nut"
"Pine Ridge","#6d9185","pine ridge"
"Pine Scent","#4a6d42","pine scent"
"Pine Scented Lagoon","#066f6c","pine scented lagoon"
"Pine Strain","#d5bfa5","pine strain"
"Pine Trail","#9c9f75","pine trail"
"Pine Tree","#2a2f23","pine tree"
"Pine Water","#e5e7d5","pine water"
"Pine Whisper","#b3c6b9","pine whisper"
"Pine","#2b5d34","pine"
"Pineal Pink","#786d72","pineal pink"
"Pineapple Blossom","#b4655c","pineapple blossom"
"Pineapple Cream","#f2eac3","pineapple cream"
"Pineapple Crush","#edda8f","pineapple crush"
"Pineapple Delight","#f0e7a9","pineapple delight"
"Pineapple Fizz","#f9f0d6","pineapple fizz"
"Pineapple High","#ebeb57","pineapple high"
"Pineapple Juice","#f8e87b","pineapple juice"
"Pineapple Perfume","#eeee88","pineapple perfume"
"Pineapple Sage","#9c8f60","pineapple sage"
"Pineapple Salmon","#fd645f","pineapple salmon"
"Pineapple Slice","#e7d791","pineapple slice"
"Pineapple Soda","#e4e5ce","pineapple soda"
"Pineapple Sorbet","#f7f4da","pineapple sorbet"
"Pineapple Whip","#ead988","pineapple whip"
"Pineapple Wine","#dbbc6c","pineapple wine"
"Pineapple","#563c0d","pineapple"
"Pineberry","#f0d6dd","pineberry"
"Pinebrook","#5d695a","pinebrook"
"Pinecone Hill","#63695f","pinecone hill"
"Pinecone Path","#574745","pinecone path"
"Pinehurst","#2b7b66","pinehurst"
"Pinenut","#f8d9b8","pinenut"
"Pinetop","#57593f","pinetop"
"Pineweed","#5b7349","pineweed"
"Piney Lake","#006655","piney lake"
"Piney Wood","#70574f","piney wood"
"Pink Abalone","#e9b8a4","pink abalone"
"Pink Amour","#f4e2e9","pink amour"
"Pink Apatite","#d7b8ab","pink apatite"
"Pink Apotheosis","#ffb2f0","pink apotheosis"
"Pink Ballad","#a6427c","pink ballad"
"Pink Beach","#f6c3a6","pink beach"
"Pink Beauty","#dca7c2","pink beauty"
"Pink Begonia","#dd9cbd","pink begonia"
"Pink Bite","#e936a7","pink bite"
"Pink Blessing","#f2a9ba","pink blessing"
"Pink Bliss","#e3abce","pink bliss"
"Pink Blossom","#fbe9dd","pink blossom"
"Pink Blush","#f4acb6","pink blush"
"Pink Bonnet","#dd77ee","pink bonnet"
"Pink Booties","#efe1e4","pink booties"
"Pink Bravado","#c5b5c3","pink bravado"
"Pink Bubble Tea","#fdbac4","pink bubble tea"
"Pink Cardoon","#ecc9ca","pink cardoon"
"Pink Carnation","#ed7a9e","pink carnation"
"Pink Cattleya","#ffb2d0","pink cattleya"
"Pink Chablis","#f4ded9","pink chablis"
"Pink Chalk","#f2a3bd","pink chalk"
"Pink Champagne","#e8dfed","pink champagne"
"Pink Charge","#dd66bb","pink charge"
"Pink Chi","#e4898a","pink chi"
"Pink Chintz","#efbecf","pink chintz"
"Pink Clay Pot","#d99294","pink clay pot"
"Pink Clay","#ffd5d1","pink clay"
"Pink Condition","#ff99dd","pink condition"
"Pink Cupcake","#f5d0d6","pink cupcake"
"Pink Currant","#fed5e9","pink currant"
"Pink Dahlia","#b94c66","pink dahlia"
"Pink Damask","#d98580","pink damask"
"Pink Dazzle","#c97376","pink dazzle"
"Pink Delight","#ff8ad8","pink delight"
"Pink Diamond","#fed0fc","pink diamond"
"Pink Diminishing","#fff4f2","pink diminishing"
"Pink Discord","#b499a1","pink discord"
"Pink Dogwood","#f7d1d1","pink dogwood"
"Pink Dream","#fea5a2","pink dream"
"Pink Duet","#f8e7e4","pink duet"
"Pink Dust","#e4b5b2","pink dust"
"Pink Dyed Blond","#ecdfd5","pink dyed blond"
"Pink Earth","#b08272","pink earth"
"Pink Elephant","#f5d5cc","pink elephant"
"Pink Elephants","#ff99ee","pink elephants"
"Pink Emulsion","#f2e4e2","pink emulsion"
"Pink Eraser","#f3a09a","pink eraser"
"Pink Explosion","#f56f88","pink explosion"
"Pink Fetish","#dd77ff","pink fetish"
"Pink Fever","#cc55ff","pink fever"
"Pink Fire","#fc845d","pink fire"
"Pink Fit","#f5a8b2","pink fit"
"Pink Flambe","#d3507a","pink flambe"
"Pink Flambé","#cd4e82","pink flambé"
"Pink Flame","#b55a63","pink flame"
"Pink Flamingo","#ff66ff","pink flamingo"
"Pink Flare","#d8b4b6","pink flare"
"Pink Floyd","#eb9a9d","pink floyd"
"Pink Fluorite","#fbd3d9","pink fluorite"
"Pink Frappé","#e6d2dc","pink frappé"
"Pink Frosting","#f7d7e2","pink frosting"
"Pink Garnet","#d2738f","pink garnet"
"Pink Gin","#dfa3ba","pink gin"
"Pink Ginger","#cfa798","pink ginger"
"Pink Glamour","#ff787b","pink glamour"
"Pink Glitter","#fddfda","pink glitter"
"Pink Glow","#ffece0","pink glow"
"Pink Granite","#bd9e97","pink granite"
"Pink Grapefruit","#f3bac9","pink grapefruit"
"Pink Heath","#f2bddf","pink heath"
"Pink Hibiscus","#b36c86","pink hibiscus"
"Pink Horror","#90305d","pink horror"
"Pink Hydrangea","#f8c1bb","pink hydrangea"
"Pink Ice","#cf9fa9","pink ice"
"Pink Icing","#eea0a6","pink icing"
"Pink Illusion","#d8b8f8","pink illusion"
"Pink Ink","#ff1476","pink ink"
"Pink Insanity","#cc44ff","pink insanity"
"Pink Jazz","#9e6b89","pink jazz"
"Pink Katydid","#ff55aa","pink katydid"
"Pink Kitsch","#ff22ee","pink kitsch"
"Pink Lace","#f6ccd7","pink lace"
"Pink Lady","#f3d7b6","pink lady"
"Pink Lavender","#d9afca","pink lavender"
"Pink Lemonade","#ffeaeb","pink lemonade"
"Pink Lily","#f8d0e7","pink lily"
"Pink Linen","#d2bfc4","pink linen"
"Pink Lotus","#fadbd7","pink lotus"
"Pink Macaroon","#eaacc6","pink macaroon"
"Pink Makeup","#fc80a5","pink makeup"
"Pink Manhattan","#c16c7b","pink manhattan"
"Pink Marble","#e5d0ca","pink marble"
"Pink Marshmallow","#f4b6d1","pink marshmallow"
"Pink Mimosa","#f4b6a8","pink mimosa"
"Pink Mirage","#f4ede9","pink mirage"
"Pink Mist","#e6bccd","pink mist"
